,1-499,500-999,1000-1999,2000-3999,4000-5999,6000-7999,8000-9999,10000-11999,12000-13999,14000-15999,16000-17999,18000-99999
nyc,"['abe', 'ack', 'acy', 'alb', 'avp', 'bdl', 'bed', 'bos', 'btv', 'buf', 'bwi', 'dca', 'dxr', 'ewr', 'fkl', 'hpn', 'hya', 'iad', 'isp', 'jfk', 'lga', 'mdt', 'mht', 'mvy', 'orf', 'orh', 'phf', 'phl', 'pvd', 'pwm', 'ric', 'roc', 'sce', 'slk', 'swf', 'syr', 'ttn', 'yoo']","['agc', 'avl', 'azo', 'bcb', 'bgr', 'cae', 'cak', 'ckb', 'cle', 'clt', 'cmh', 'crw', 'cvg', 'day', 'det', 'dtw', 'eri', 'fnt', 'fwa', 'gmu', 'grr', 'gso', 'gsp', 'lan', 'lex', 'luk', 'lwb', 'mbs', 'mfd', 'myr', 'pit', 'ptk', 'rdu', 'roa', 'shd', 'tol', 'tri', 'yhm', 'yhz', 'yip', 'ymx', 'yng', 'yow', 'yqb', 'yqm', 'ysb', 'ysj', 'ytz', 'yul', 'yxu', 'yyz']","['aex', 'ags', 'atl', 'atw', 'bda', 'bhm', 'bmi', 'bna', 'cha', 'chs', 'cid', 'cmi', 'cmx', 'dab', 'dbq', 'dlh', 'dsm', 'ecp', 'eyw', 'far', 'fll', 'fod', 'fsd', 'fsp', 'ggt', 'gnv', 'gpt', 'grb', 'gtr', 'hot', 'hsv', 'huf', 'ind', 'jax', 'laf', 'lit', 'lnk', 'lse', 'mci', 'mco', 'mcw', 'mdw', 'mem', 'mgm', 'mia', 'mke', 'mkg', 'mlb', 'mli', 'mlu', 'msn', 'msp', 'msy', 'nas', 'oma', 'ord', 'pbi', 'pie', 'pns', 'rfd', 'rst', 'rsw', 'sav', 'sbn', 'sdf', 'sgf', 'spg', 'srq', 'stl', 'stp', 'sux', 'tpa', 'tul', 'tys', 'vps', 'xna', 'yqt', 'yqx', 'yqy', 'yyt']","['abi', 'abq', 'aca', 'agu', 'ama', 'anu', 'apa', 'ase', 'aua', 'aus', 'baq', 'bff', 'bfi', 'bfl', 'bga', 'bgi', 'bil', 'bjc', 'bjx', 'bli', 'boi', 'bon', 'bro', 'btm', 'bur', 'bze', 'bzn', 'ccs', 'cld', 'cll', 'crp', 'ctg', 'cul', 'cun', 'dal', 'den', 'dfw', 'dom', 'eat', 'ege', 'elp', 'eoh', 'eug', 'eux', 'fat', 'fca', 'fdf', 'flg', 'gcm', 'gdl', 'geg', 'gjt', 'gnd', 'grk', 'gua', 'hav', 'hmo', 'hog', 'hor', 'hou', 'hqm', 'hrl', 'iah', 'ict', 'ida', 'ifp', 'jac', 'kin', 'las', 'lax', 'lbb', 'lbf', 'lft', 'lgb', 'lir', 'lmt', 'lrd', 'maf', 'mbj', 'mde', 'mex', 'mga', 'mmh', 'mso', 'mtj', 'myf', 'mzl', 'okc', 'ont', 'pae', 'pap', 'pdx', 'phx', 'pos', 'psc', 'pse', 'psp', 'ptp', 'pty', 'pvr', 'pvu', 'pzo', 'qro', 'riw', 'rno', 'rnt', 'row', 'sab', 'saf', 'sal', 'san', 'sat', 'sdq', 'sea', 'sfj', 'sgu', 'shv', 'sjd', 'sjo', 'sju', 'sjz', 'skb', 'slc', 'sln', 'slu', 'sna', 'sti', 'stt', 'stx', 'sun', 'svd', 'sxm', 'tab', 'ter', 'tgu', 'tij', 'tus', 'uvf', 'vgt', 'vln', 'yeg', 'ylw', 'ymm', 'yqr', 'yum', 'yvr', 'ywg', 'yxe', 'yxh', 'yxx', 'yyc', 'yyj', 'yzf', 'zcl', 'zih', 'zlo']","['aal', 'abz', 'ace', 'aes', 'aga', 'agp', 'ams', 'anc', 'ang', 'anr', 'beb', 'bel', 'bfs', 'bgo', 'bhd', 'bhx', 'bio', 'blk', 'bod', 'bog', 'boh', 'brr', 'brs', 'bru', 'brw', 'bva', 'cbg', 'cdg', 'chr', 'clo', 'cmn', 'cng', 'crl', 'cwl', 'dnd', 'dnr', 'dub', 'eas', 'edi', 'egc', 'ein', 'ema', 'ens', 'ext', 'fae', 'fao', 'fez', 'fnc', 'fue', 'gci', 'geo', 'gib', 'gla', 'glo', 'gps', 'grw', 'grx', 'gye', 'hgl', 'hov', 'huu', 'inv', 'iom', 'isc', 'jer', 'kef', 'kno', 'krs', 'lba', 'lcg', 'lcy', 'ldy', 'lgg', 'lgw', 'lhr', 'lim', 'lis', 'lpa', 'lpl', 'lrh', 'ltn', 'lyr', 'mad', 'man', 'mao', 'mgl', 'mme', 'mry', 'mst', 'ncl', 'nqy', 'nte', 'nwi', 'oak', 'opo', 'ork', 'ory', 'osl', 'ost', 'ovd', 'oxf', 'pbm', 'pdl', 'pik', 'pix', 'pna', 'puf', 'pxo', 'rai', 'rak', 'rba', 'rdd', 'rns', 'rtm', 'sba', 'scq', 'sdr', 'sen', 'sfo', 'sgy', 'sid', 'sjc', 'slm', 'slz', 'sma', 'smf', 'snn', 'sou', 'stn', 'sts', 'svg', 'svq', 'tbp', 'tfn', 'tfs', 'tls', 'tng', 'tos', 'trd', 'tre', 'trf', 'tru', 'uio', 'vde', 'vgo', 'vll', 'xry', 'yaz', 'yxy', 'yyd', 'zaz']","['aar', 'abj', 'agb', 'aju', 'alc', 'alg', 'ans', 'aoi', 'aqp', 'arn', 'asu', 'ath', 'bcn', 'bds', 'beg', 'ber', 'bgy', 'bjl', 'bko', 'blq', 'bma', 'bre', 'brq', 'bsb', 'bsl', 'bts', 'bud', 'bwe', 'cbb', 'ccf', 'cgh', 'cgn', 'cgr', 'cia', 'cky', 'cnf', 'cph', 'cpv', 'cta', 'cuz', 'cvf', 'cwb', 'dbv', 'dkr', 'dme', 'dnk', 'dtm', 'dus', 'fco', 'fdh', 'fkb', 'flr', 'fmo', 'fna', 'for', 'fra', 'fsc', 'gdn', 'gig', 'goa', 'goj', 'got', 'gro', 'gru', 'grz', 'gva', 'gyn', 'haj', 'ham', 'hel', 'hft', 'hhn', 'hnl', 'hnm', 'ibz', 'iev', 'igu', 'inn', 'ipn', 'iqq', 'ito', 'jhm', 'joi', 'jpa', 'jsi', 'jul', 'kbp', 'kiv', 'koa', 'krk', 'krn', 'ktt', 'ktw', 'kuo', 'led', 'lei', 'lej', 'lin', 'lju', 'lpb', 'lux', 'lwo', 'lys', 'mah', 'mcz', 'mjv', 'mla', 'mlh', 'mln', 'mmx', 'mrs', 'msq', 'muc', 'mxp', 'nap', 'nat', 'nce', 'nim', 'nkc', 'nue', 'nyo', 'ods', 'ogg', 'ohd', 'ome', 'orb', 'otp', 'oua', 'oul', 'oxb', 'pdv', 'plu', 'pmi', 'pnz', 'prg', 'prn', 'psa', 'rec', 'rix', 'rlg', 'rms', 'rze', 'sdu', 'sfa', 'sir', 'sjj', 'skg', 'skp', 'sof', 'spu', 'srg', 'ssa', 'str', 'svo', 'sxb', 'sxf', 'szg', 'tcq', 'tgd', 'tia', 'tip', 'tll', 'trn', 'trs', 'tun', 'txl', 'vce', 'vcp', 'vie', 'vix', 'vko', 'vlc', 'vno', 'vrn', 'waw', 'wro', 'zag', 'zrh']","['abv', 'acc', 'aep', 'aer', 'amm', 'aqj', 'ayt', 'bey', 'bgw', 'cai', 'ccp', 'coo', 'cor', 'dam', 'dla', 'esb', 'evn', 'eze', 'fln', 'hrg', 'ika', 'ipc', 'ist', 'kan', 'krr', 'kuh', 'lbv', 'lca', 'lfw', 'lih', 'los', 'lxr', 'mdz', 'mvd', 'ndj', 'nic', 'ovb', 'pfo', 'phc', 'poa', 'rgi', 'ros', 'rov', 'scl', 'sfn', 'ssh', 'svx', 'tbs', 'thr', 'tjm', 'tlv', 'tse', 'vog', 'ynb']","['add', 'ahb', 'ala', 'apw', 'asm', 'atq', 'auh', 'bah', 'bjm', 'bob', 'bzv', 'cju', 'cts', 'del', 'dmm', 'doh', 'dxb', 'dyu', 'ebb', 'fih', 'fru', 'fuk', 'giz', 'hkd', 'hnd', 'huh', 'icn', 'isb', 'itm', 'ixc', 'jai', 'jed', 'jib', 'kgl', 'khi', 'kix', 'krt', 'kwi', 'lad', 'lhe', 'maj', 'mct', 'med', 'nbo', 'ngo', 'ngs', 'nrt', 'pek', 'pew', 'ppg', 'ppt', 'puq', 'pus', 'pvg', 'ruh', 'sah', 'sha', 'sxr', 'syz', 'tak', 'tao', 'tas', 'tif', 'ush', 'wdh']","['amd', 'bkk', 'blr', 'bom', 'can', 'ccu', 'ckg', 'cnx', 'cok', 'cpt', 'ctu', 'dac', 'dad', 'dar', 'dmk', 'dza', 'gbe', 'goi', 'gum', 'han', 'hgh', 'hir', 'hkg', 'hre', 'hyd', 'idr', 'ixb', 'ixm', 'jnb', 'khh', 'kmg', 'ksa', 'ktm', 'lko', 'llw', 'lpq', 'lun', 'lvi', 'maa', 'mdl', 'mnl', 'mpm', 'msu', 'mts', 'nan', 'oka', 'pbh', 'pni', 'pnq', 'rgn', 'ror', 'suv', 'syx', 'tkk', 'tpe', 'trv', 'tsa', 'uih', 'uth', 'vav', 'vli', 'vns', 'vte', 'xmn']","['akl', 'bki', 'bmv', 'bne', 'bpn', 'bwn', 'ceb', 'chc', 'cmb', 'cxr', 'dud', 'dvo', 'gov', 'gur', 'hkt', 'ixz', 'kul', 'lbu', 'lgk', 'lmn', 'mdc', 'mle', 'mru', 'nsn', 'ool', 'pdg', 'pen', 'pnh', 'pom', 'rep', 'run', 'sgn', 'sin', 'soq', 'tnr', 'upg', 'usm', 'wlg', 'zqn']","['adl', 'bdo', 'cbr', 'cgk', 'dps', 'drw', 'hlp', 'jog', 'mel', 'moo', 'mql', 'soc', 'sub', 'syd']",['per']
mia,"['dab', 'eyw', 'fll', 'gnv', 'hav', 'mco', 'mlb', 'nas', 'pbi', 'pie', 'rsw', 'spg', 'srq', 'tpa']","['ags', 'atl', 'cae', 'chs', 'cun', 'ecp', 'gcm', 'ggt', 'hog', 'jax', 'kin', 'mbj', 'mgm', 'myr', 'pns', 'sav', 'vps']","['abe', 'ack', 'acy', 'aex', 'agc', 'alb', 'aua', 'aus', 'avl', 'avp', 'azo', 'baq', 'bcb', 'bda', 'bdl', 'bhm', 'bmi', 'bna', 'bon', 'bro', 'buf', 'bwi', 'bze', 'cak', 'cha', 'ckb', 'cle', 'cll', 'clt', 'cmh', 'cmi', 'crp', 'crw', 'ctg', 'cvg', 'dal', 'day', 'dca', 'det', 'dfw', 'dtw', 'dxr', 'eri', 'ewr', 'fkl', 'fnt', 'fwa', 'gmu', 'gpt', 'grk', 'grr', 'gso', 'gsp', 'gtr', 'gua', 'hot', 'hou', 'hpn', 'hrl', 'hsv', 'huf', 'iad', 'iah', 'ind', 'isp', 'jfk', 'laf', 'lan', 'lex', 'lft', 'lga', 'lir', 'lit', 'lrd', 'luk', 'lwb', 'mdt', 'mdw', 'mem', 'mfd', 'mga', 'mli', 'mlu', 'msy', 'mvy', 'okc', 'ord', 'orf', 'orh', 'pap', 'phf', 'phl', 'pit', 'pse', 'ptk', 'pty', 'pvd', 'rdu', 'ric', 'roa', 'roc', 'sab', 'sal', 'sat', 'sbn', 'sce', 'sdf', 'sdq', 'sgf', 'shd', 'shv', 'sjo', 'sju', 'sti', 'stl', 'stt', 'stx', 'swf', 'sxm', 'syr', 'tgu', 'tol', 'tri', 'ttn', 'tul', 'tys', 'xna', 'yhm', 'yip', 'yng', 'ytz', 'yxu']","['abi', 'abq', 'aca', 'agu', 'ama', 'anu', 'apa', 'ase', 'atw', 'bed', 'bff', 'bfl', 'bga', 'bgi', 'bgr', 'bil', 'bjc', 'bjx', 'bog', 'boi', 'bos', 'btm', 'btv', 'bur', 'bzn', 'ccs', 'cid', 'cld', 'clo', 'cmx', 'cul', 'dbq', 'den', 'dlh', 'dom', 'dsm', 'ege', 'elp', 'eoh', 'eux', 'far', 'fat', 'fca', 'fdf', 'flg', 'fod', 'fsd', 'fsp', 'gdl', 'geo', 'gjt', 'gnd', 'gps', 'grb', 'gye', 'hmo', 'huu', 'hya', 'ict', 'ida', 'ifp', 'jac', 'las', 'lax', 'lbb', 'lbf', 'lgb', 'lnk', 'lse', 'maf', 'mao', 'mbs', 'mci', 'mcw', 'mde', 'mex', 'mht', 'mke', 'mkg', 'mmh', 'msn', 'mso', 'msp', 'mtj', 'myf', 'mzl', 'oma', 'ont', 'pbm', 'phx', 'pos', 'psp', 'ptp', 'pvr', 'pvu', 'pwm', 'pzo', 'qro', 'rfd', 'riw', 'rno', 'row', 'rst', 'saf', 'san', 'sba', 'sgu', 'sjd', 'skb', 'slc', 'slk', 'sln', 'slu', 'sna', 'stp', 'sun', 'sux', 'svd', 'tab', 'tbp', 'tij', 'tru', 'tus', 'uio', 'uvf', 'vgt', 'vln', 'yhz', 'ymx', 'yoo', 'yow', 'yqb', 'yqm', 'yqr', 'yqt', 'yqx', 'yqy', 'ysb', 'ysj', 'yul', 'yum', 'ywg', 'yxe', 'yxh', 'yyt', 'yyz', 'zcl', 'zih', 'zlo']","['ans', 'aqp', 'bel', 'bfi', 'bli', 'bsb', 'cbb', 'cgr', 'cuz', 'eat', 'eug', 'for', 'geg', 'gyn', 'hor', 'hqm', 'iqq', 'jul', 'kef', 'lim', 'lmt', 'lpb', 'mry', 'oak', 'pae', 'pdl', 'pdx', 'psc', 'rai', 'rdd', 'rnt', 'sea', 'sfj', 'sfo', 'sgy', 'sid', 'sjc', 'sjz', 'slz', 'sma', 'smf', 'srg', 'sts', 'tcq', 'ter', 'yaz', 'yeg', 'ylw', 'ymm', 'yvr', 'yxx', 'yxy', 'yyc', 'yyd', 'yyj', 'yzf']","['aal', 'aar', 'abz', 'ace', 'aep', 'aes', 'aga', 'agb', 'agp', 'aju', 'alc', 'alg', 'ams', 'anc', 'ang', 'anr', 'arn', 'asu', 'bcn', 'beb', 'bfs', 'bgo', 'bgy', 'bhd', 'bhx', 'bio', 'bjl', 'bko', 'blk', 'bod', 'boh', 'bre', 'brr', 'brs', 'bru', 'brw', 'bsl', 'bva', 'bwe', 'cbg', 'ccf', 'ccp', 'cdg', 'cgh', 'cgn', 'chr', 'cky', 'cmn', 'cnf', 'cng', 'cor', 'cph', 'cpv', 'crl', 'cvf', 'cwb', 'cwl', 'dkr', 'dnd', 'dnr', 'dtm', 'dub', 'dus', 'eas', 'edi', 'egc', 'ein', 'ema', 'ens', 'ext', 'eze', 'fae', 'fao', 'fdh', 'fez', 'fkb', 'fln', 'fmo', 'fna', 'fnc', 'fra', 'fue', 'gci', 'gib', 'gig', 'gla', 'glo', 'goa', 'got', 'gro', 'gru', 'grw', 'grx', 'gva', 'haj', 'ham', 'hft', 'hgl', 'hhn', 'hnl', 'hnm', 'hov', 'ibz', 'igu', 'inv', 'iom', 'ipc', 'ipn', 'isc', 'ito', 'jer', 'jhm', 'joi', 'jpa', 'kno', 'koa', 'krn', 'krs', 'ktt', 'lba', 'lcg', 'lcy', 'ldy', 'lei', 'lej', 'lgg', 'lgw', 'lhr', 'lih', 'lin', 'lis', 'lpa', 'lpl', 'lrh', 'ltn', 'lux', 'lyr', 'lys', 'mad', 'mah', 'man', 'mcz', 'mdz', 'mgl', 'mjv', 'mlh', 'mln', 'mme', 'mmx', 'mrs', 'mst', 'mvd', 'mxp', 'nat', 'nce', 'ncl', 'nkc', 'nqy', 'nte', 'nue', 'nwi', 'nyo', 'ogg', 'ome', 'opo', 'orb', 'ork', 'ory', 'osl', 'ost', 'ovd', 'oxb', 'oxf', 'pik', 'pix', 'plu', 'pmi', 'pna', 'pnz', 'poa', 'puf', 'pxo', 'rak', 'rba', 'rec', 'rlg', 'rms', 'rns', 'ros', 'rtm', 'scl', 'scq', 'sdr', 'sdu', 'sen', 'sfn', 'sir', 'slm', 'snn', 'sou', 'ssa', 'stn', 'str', 'svg', 'svq', 'sxb', 'tfn', 'tfs', 'tls', 'tng', 'tos', 'trd', 'tre', 'trf', 'trn', 'txl', 'vcp', 'vde', 'vgo', 'vix', 'vlc', 'vll', 'xry', 'zaz', 'zrh']","['abj', 'abv', 'acc', 'aoi', 'ath', 'ayt', 'bds', 'beg', 'ber', 'blq', 'bma', 'bob', 'brq', 'bts', 'bud', 'cia', 'coo', 'cta', 'dbv', 'dla', 'dme', 'dnk', 'esb', 'fco', 'flr', 'fsc', 'gdn', 'goj', 'grz', 'hel', 'huh', 'iev', 'inn', 'ist', 'jsi', 'kan', 'kbp', 'kiv', 'krk', 'ktw', 'kuo', 'lbv', 'led', 'lfw', 'lju', 'los', 'lwo', 'mla', 'msq', 'muc', 'nap', 'ndj', 'nim', 'ods', 'ohd', 'otp', 'oua', 'oul', 'pdv', 'phc', 'ppt', 'prg', 'prn', 'psa', 'puq', 'rgi', 'rix', 'rov', 'rze', 'sfa', 'sjj', 'skg', 'skp', 'sof', 'spu', 'svo', 'sxf', 'szg', 'tgd', 'tia', 'tip', 'tll', 'trs', 'tun', 'ush', 'vce', 'vie', 'vko', 'vno', 'vrn', 'waw', 'wro', 'zag']","['aer', 'amm', 'apw', 'aqj', 'bey', 'bgw', 'bzv', 'cai', 'cts', 'dam', 'evn', 'fih', 'hkd', 'hrg', 'ika', 'jed', 'krr', 'krt', 'kuh', 'kwi', 'lad', 'lca', 'lxr', 'maj', 'med', 'nic', 'nrt', 'ovb', 'pfo', 'ppg', 'ssh', 'suv', 'svx', 'tas', 'tbs', 'thr', 'tif', 'tjm', 'tlv', 'tse', 'vav', 'vog', 'wdh', 'ynb']","['add', 'ahb', 'akl', 'ala', 'amd', 'asm', 'atq', 'auh', 'bah', 'bjm', 'chc', 'cju', 'ckg', 'cpt', 'ctu', 'dar', 'del', 'dmm', 'doh', 'dud', 'dxb', 'dyu', 'ebb', 'fru', 'fuk', 'gbe', 'giz', 'gum', 'hgh', 'hir', 'hnd', 'hre', 'icn', 'isb', 'itm', 'ixc', 'jai', 'jib', 'jnb', 'kgl', 'khi', 'kix', 'ksa', 'ktm', 'lhe', 'lko', 'llw', 'lun', 'lvi', 'mct', 'mpm', 'msu', 'mts', 'nan', 'nbo', 'ngo', 'ngs', 'nsn', 'oka', 'pek', 'pew', 'pni', 'pus', 'pvg', 'ruh', 'sah', 'sha', 'sxr', 'syz', 'tak', 'tao', 'tkk', 'tpe', 'tsa', 'vli', 'wlg', 'zqn']","['bkk', 'blr', 'bmv', 'bne', 'bom', 'can', 'cbr', 'ccu', 'ceb', 'cmb', 'cnx', 'cok', 'cxr', 'dac', 'dad', 'dmk', 'dvo', 'dza', 'goi', 'gov', 'gur', 'han', 'hkg', 'hyd', 'idr', 'ixb', 'ixm', 'ixz', 'khh', 'kmg', 'lpq', 'maa', 'mdc', 'mdl', 'mel', 'mle', 'mnl', 'mql', 'mru', 'ool', 'pbh', 'pnh', 'pnq', 'pom', 'rep', 'rgn', 'ror', 'run', 'sgn', 'soq', 'syd', 'syx', 'tnr', 'trv', 'uih', 'uth', 'vns', 'vte', 'xmn']","['adl', 'bdo', 'bki', 'bpn', 'bwn', 'cgk', 'dps', 'drw', 'hkt', 'hlp', 'jog', 'kul', 'lbu', 'lgk', 'lmn', 'moo', 'pdg', 'pen', 'sin', 'soc', 'sub', 'upg', 'usm']",['per']
