,nyc,mia,yul,los,rio,hkg,sin,dac,msq,syd,edi,cpt,auh,bjs,del
xry,5760.0,6980.0,5580.0,3490.0,7690.0,10900.0,11700.0,8980.0,3200.0,17900.0,2140.0,8260.0,5870.0,9660.0,7600.0
yaz,4090.0,4680.0,3860.0,12100.0,11400.0,10100.0,12600.0,11200.0,8290.0,12300.0,7180.0,16600.0,11800.0,8380.0,11100.0
yeg,3250.0,4120.0,2960.0,11100.0,10800.0,10400.0,13000.0,11100.0,7560.0,13300.0,6310.0,15700.0,11300.0,8590.0,10800.0
yhm,560.0,1930.0,554.0,8960.0,8240.0,12600.0,15000.0,12500.0,7230.0,15500.0,5390.0,13100.0,11200.0,10600.0,11700.0
yhz,967.0,2590.0,803.0,7680.0,7810.0,12500.0,14700.0,11900.0,6200.0,16700.0,4280.0,12000.0,10100.0,10600.0,10900.0
yip,813.0,1850.0,861.0,9250.0,8340.0,12600.0,15100.0,12600.0,7480.0,15200.0,5680.0,13400.0,11400.0,10700.0,11900.0
ylw,3640.0,4280.0,3400.0,11700.0,11000.0,10400.0,13000.0,11300.0,8060.0,12800.0,6860.0,16300.0,11700.0,8630.0,11100.0
ymm,3190.0,4220.0,2850.0,10800.0,10900.0,10300.0,12800.0,10800.0,7160.0,13500.0,5920.0,15500.0,10900.0,8380.0,10500.0
ymx,547.0,2290.0,31.7,8500.0,8240.0,12400.0,14800.0,12100.0,6690.0,16000.0,4860.0,12800.0,10700.0,10400.0,11200.0
ynb,9950.0,11400.0,9660.0,4180.0,10200.0,7680.0,7500.0,5280.0,3410.0,13500.0,4860.0,6780.0,1670.0,7350.0,3910.0
yng,563.0,1720.0,727.0,9010.0,8110.0,12800.0,15200.0,12700.0,7420.0,15400.0,5580.0,13100.0,11400.0,10800.0,11900.0
yoo,496.0,2030.0,396.0,8820.0,8240.0,12500.0,15000.0,12400.0,7070.0,15700.0,5250.0,13000.0,11000.0,10600.0,11600.0
yow,526.0,2200.0,150.0,8630.0,8260.0,12400.0,14800.0,12200.0,6820.0,15900.0,4990.0,12900.0,10800.0,10500.0,11300.0
yqb,702.0,2460.0,235.0,8300.0,8240.0,12300.0,14600.0,12000.0,6470.0,16300.0,4630.0,12700.0,10400.0,10300.0,11100.0
yqm,958.0,2660.0,707.0,7790.0,7970.0,12400.0,14600.0,11800.0,6160.0,16700.0,4260.0,12200.0,10100.0,10400.0,10900.0
yqr,2590.0,3440.0,2350.0,10700.0,10100.0,11100.0,13600.0,11600.0,7580.0,13800.0,6150.0,15100.0,11400.0,9190.0,11200.0
yqt,1480.0,2620.0,1220.0,9660.0,9160.0,11800.0,14300.0,12000.0,7190.0,14800.0,5540.0,14000.0,11200.0,9870.0,11300.0
yqx,1770.0,3400.0,1500.0,7150.0,8060.0,12000.0,14000.0,11200.0,5390.0,17400.0,3480.0,11700.0,9270.0,10100.0,10200.0
yqy,1270.0,2880.0,1060.0,7450.0,7850.0,12400.0,14500.0,11700.0,5910.0,17100.0,3980.0,11900.0,9780.0,10400.0,10700.0
ysb,851.0,2320.0,558.0,9030.0,8590.0,12200.0,14600.0,12100.0,6970.0,15500.0,5180.0,13300.0,10900.0,10200.0,11400.0
ysj,829.0,2530.0,613.0,7870.0,7920.0,12500.0,14700.0,12000.0,6290.0,16600.0,4390.0,12200.0,10200.0,10500.0,11000.0
ytz,549.0,1980.0,491.0,8920.0,8270.0,12500.0,15000.0,12400.0,7150.0,15600.0,5330.0,13100.0,11100.0,10600.0,11600.0
yul,523.0,2270.0,0.0,8480.0,8210.0,12400.0,14800.0,12200.0,6710.0,16000.0,4860.0,12800.0,10700.0,10500.0,11300.0
yum,3700.0,3400.0,3750.0,12100.0,9770.0,12000.0,14500.0,13200.0,9720.0,12300.0,8220.0,15700.0,13600.0,10400.0,13100.0
yvr,3910.0,4510.0,3690.0,11900.0,11200.0,10300.0,12800.0,11200.0,8220.0,12500.0,7070.0,16400.0,11800.0,8510.0,11100.0
ywg,2080.0,3040.0,1820.0,10200.0,9670.0,11400.0,14000.0,11800.0,7370.0,14300.0,5830.0,14600.0,11300.0,9500.0,11300.0
yxe,2770.0,3670.0,2490.0,10800.0,10300.0,10800.0,13400.0,11400.0,7480.0,13700.0,6100.0,15300.0,11300.0,8960.0,11000.0
yxh,3010.0,3750.0,2780.0,11100.0,10500.0,10800.0,13400.0,11500.0,7820.0,13400.0,6470.0,15600.0,11600.0,9000.0,11200.0
yxu,645.0,1920.0,647.0,9060.0,8290.0,12600.0,15000.0,12500.0,7290.0,15400.0,5470.0,13200.0,11200.0,10600.0,11700.0
yxx,3850.0,4440.0,3620.0,11900.0,11200.0,10300.0,12900.0,11300.0,8220.0,12500.0,7050.0,16400.0,11800.0,8560.0,11200.0
yxy,4620.0,5630.0,4230.0,11700.0,12300.0,8900.0,11500.0,9770.0,7180.0,12400.0,6370.0,16400.0,10500.0,7100.0,9660.0
yyc,3250.0,4010.0,3010.0,11300.0,10700.0,10600.0,13200.0,11300.0,7810.0,13200.0,6520.0,15800.0,11500.0,8770.0,11100.0
yyd,4150.0,4970.0,3850.0,11800.0,11700.0,9660.0,12200.0,10600.0,7710.0,12500.0,6680.0,16400.0,11200.0,7870.0,10400.0
yyj,3930.0,4490.0,3720.0,12000.0,11200.0,10300.0,12800.0,11300.0,8290.0,12500.0,7130.0,16400.0,11900.0,8550.0,11200.0
yyt,1850.0,3410.0,1610.0,6980.0,7900.0,12100.0,14100.0,11200.0,5380.0,17500.0,3440.0,11500.0,9220.0,10200.0,10200.0
yyz,566.0,2000.0,504.0,8930.0,8270.0,12500.0,15000.0,12400.0,7160.0,15500.0,5340.0,13100.0,11100.0,10600.0,11600.0
yzf,3590.0,4800.0,3190.0,10700.0,11300.0,9660.0,12200.0,10200.0,6660.0,13500.0,5570.0,15500.0,10300.0,7760.0,9830.0
zag,6900.0,8450.0,6580.0,4520.0,9690.0,8840.0,9740.0,6950.0,1220.0,16000.0,1770.0,8870.0,4170.0,7630.0,5580.0
zaz,5910.0,7270.0,5660.0,3930.0,8380.0,10300.0,11100.0,8380.0,2510.0,17400.0,1590.0,8640.0,5420.0,8960.0,7020.0
zcl,3330.0,2290.0,3620.0,11300.0,8210.0,13600.0,16000.0,14600.0,10200.0,12800.0,8470.0,14200.0,14200.0,11900.0,14300.0
zih,3670.0,2370.0,4020.0,11300.0,7770.0,14100.0,16600.0,15200.0,10700.0,12600.0,8880.0,13800.0,14700.0,12500.0,14900.0
zlo,3750.0,2570.0,4060.0,11600.0,8110.0,13800.0,16100.0,15000.0,10700.0,12500.0,8920.0,14200.0,14700.0,12200.0,14700.0
zqn,15000.0,13600.0,15200.0,15500.0,11800.0,9300.0,8160.0,11000.0,17100.0,1950.0,18700.0,10700.0,13700.0,10800.0,12300.0
zrh,6310.0,7840.0,5990.0,4570.0,9370.0,9290.0,10300.0,7480.0,1510.0,16600.0,1250.0,9110.0,4780.0,7970.0,6150.0
