,nyc,mia,yul,los,rio,hkg,sin,dac,msq,syd,edi,cpt,auh,bjs,del
sin,15300.0,16900.0,14800.0,11200.0,15700.0,2570.0,0.0,2900.0,9000.0,6290.0,10900.0,9660.0,5870.0,4460.0,4150.0
sir,6290.0,7790.0,5990.0,4430.0,9210.0,9430.0,10400.0,7600.0,1660.0,16700.0,1310.0,8980.0,4830.0,8130.0,6240.0
sjc,4100.0,4100.0,4060.0,12500.0,10600.0,11200.0,13600.0,12400.0,9450.0,12000.0,8130.0,16400.0,13100.0,9560.0,12400.0
sjd,3860.0,2980.0,4070.0,12000.0,8820.0,13100.0,15400.0,14400.0,10500.0,12200.0,8850.0,14900.0,14500.0,11500.0,14200.0
sjj,7180.0,8710.0,6860.0,4390.0,9700.0,8740.0,9540.0,6790.0,1300.0,15800.0,2040.0,8640.0,3930.0,7610.0,5410.0
sjo,3560.0,1800.0,4070.0,9610.0,5760.0,15900.0,18500.0,16300.0,10500.0,13800.0,8510.0,11800.0,14100.0,14100.0,15300.0
sju,2590.0,1670.0,3090.0,7600.0,5210.0,15500.0,17500.0,14700.0,8580.0,15900.0,6610.0,10700.0,12000.0,13500.0,13500.0
sjz,3880.0,5020.0,3780.0,4760.0,7020.0,12200.0,13400.0,10600.0,4470.0,19500.0,2660.0,9400.0,7740.0,10600.0,9250.0
skb,2820.0,2040.0,3300.0,7260.0,4940.0,15600.0,17500.0,14600.0,8480.0,16100.0,6530.0,10300.0,11800.0,13600.0,13300.0
skg,7690.0,9210.0,7370.0,4250.0,9800.0,8510.0,9140.0,6450.0,1520.0,15400.0,2570.0,8290.0,3440.0,7500.0,5050.0
skp,7500.0,9010.0,7180.0,4310.0,9780.0,8580.0,9290.0,6570.0,1400.0,15600.0,2370.0,8450.0,3620.0,7520.0,5170.0
slc,3170.0,3360.0,3110.0,11600.0,10000.0,11500.0,14100.0,12500.0,8800.0,12900.0,7340.0,15600.0,12600.0,9780.0,12200.0
slk,406.0,2140.0,120.0,8480.0,8110.0,12500.0,14900.0,12300.0,6810.0,16000.0,4960.0,12700.0,10800.0,10600.0,11400.0
slm,5580.0,6920.0,5380.0,3930.0,8080.0,10600.0,11500.0,8770.0,2850.0,17900.0,1670.0,8690.0,5810.0,9290.0,7400.0
sln,2030.0,2170.0,2090.0,10500.0,8880.0,12400.0,15000.0,13000.0,8450.0,14000.0,6760.0,14400.0,12400.0,10600.0,12500.0
slu,3220.0,2400.0,3700.0,7070.0,4540.0,15900.0,17700.0,14800.0,8660.0,16100.0,6730.0,9950.0,11800.0,14000.0,13500.0
slz,5700.0,5020.0,6080.0,5340.0,2250.0,16700.0,16400.0,14600.0,9040.0,15600.0,7470.0,7340.0,11000.0,15400.0,13100.0
sma,4180.0,5290.0,4100.0,4440.0,6920.0,12200.0,13300.0,10500.0,4390.0,19500.0,2670.0,9090.0,7530.0,10600.0,9130.0
smf,4020.0,4100.0,3960.0,12400.0,10600.0,11100.0,13600.0,12300.0,9300.0,12100.0,7980.0,16400.0,13000.0,9460.0,12300.0
sna,3930.0,3720.0,3940.0,12400.0,10100.0,11700.0,14100.0,13000.0,9720.0,12100.0,8290.0,16000.0,13500.0,10100.0,12900.0
snn,4940.0,6520.0,4620.0,5250.0,9030.0,10000.0,11400.0,8510.0,2400.0,17400.0,510.0,9990.0,6100.0,8450.0,7260.0
soc,16300.0,17700.0,15800.0,12000.0,15600.0,3330.0,1240.0,4120.0,10200.0,5070.0,12200.0,9740.0,7030.0,5290.0,5390.0
sof,7580.0,9110.0,7240.0,4470.0,9960.0,8400.0,9130.0,6390.0,1280.0,15400.0,2410.0,8530.0,3510.0,7340.0,5010.0
